"entry2553_GPAX","Thai","PhysicalAct","Math","Art","Science","Industrial","Social","English","Province"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.34,3.7,3.62,2.87,3.75,3.25,3.67,3.62,3.08,"ขอนแก่น"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
3.23,2.8,3.58,3.45,3.75,3.04,4,3.5,2.62,"ยโสธร"
