"Thai","PhysicalAct","Math","Art","Science","Industrial","Social","English","Province"
4,4,3.6,4,3.66,3.68,3.93,3.5,"Kalasin"
3.5,3.93,3.25,3.75,2.69,3.26,3.37,2.6,"Ubon Ratchathani"
3.77,3.93,3.35,4,3.48,4,4,2.81,"Amnat Charoen"
1,1,1,1,1,1,1,1,"Ubon Ratchathani"
3.25,3.87,2.32,3.5,3.02,3.12,3.87,2.93,"Nong Bua Lam Phu"
3.5,3.93,2.8,2.75,2.65,3.03,3.56,2.92,"Nakhon Phanom"
2.5,3.5,2.75,3.5,2.86,3.09,3.5,2.25,"Ubon Ratchathani"
3.5,3.87,2.62,3.87,2.56,3.87,3.5,2.2,"Surin"
2.25,3.62,2.2,3.62,2.35,3.5,2.62,2.12,"Roi Et"
3.37,3.75,3.4,3.87,3.05,3.89,3.84,2.75,"Nong Khai"
3.25,3.62,3.87,3.75,3.44,3.56,3.37,2.62,"Ubon Ratchathani"
3.75,3.5,3.61,4,3.58,3.9,3.87,3.1,"Si Sa Ket"
2.87,3.56,2.22,3.58,1.65,3,2.54,2.25,"Ubon Ratchathani"
2.5,3.87,3.35,3.62,2.87,3.25,3.25,2.62,"Khon Kaen"
2,3.81,2.25,3.75,2.9,3.54,3.62,3.06,"Si Sa Ket"
0.34,3,2.04,3.12,1.68,3.33,3,1.95,"Ubon Ratchathani"
3,3.75,2.5,0,2.5,3.13,2.75,3.43,"Yasothon"
3,3.5,2.5,4,2.5,3,2,3,"Yasothon"
3.25,3.91,2.87,3.5,2.07,3.08,3.2,2.25,"Surin"
3.37,3.62,1.71,3.62,2.67,3.62,3.6,2.54,"Ubon Ratchathani"
2.87,3.81,3.15,3.62,3.25,3.87,3.66,3.38,"Ubon Ratchathani"
4,4,3.78,4,3.28,4,3.83,3.56,"Roi Et"
3.5,3.16,2.47,3.5,2.21,3.4,2.9,3.37,"Ubon Ratchathani"
3.75,3.87,3.75,4,3.73,3.93,4,3.62,"Amnat Charoen"
3,3.93,2.35,4,2.21,3.8,2.95,2.66,"Kalasin"
2.25,3.56,1.85,3.75,2.46,3,2.93,2.25,"Udon Thani"
