"ID","Program","entry2553_GPAX"
5413400744,"Industrial Engineering",3.2
5413403991,"Industrial Engineering",3.11
5413401030,"Industrial Engineering",3.46
5413401030,"Industrial Engineering",3.47
5413401215,"Electrical Engineering",2.76
5413401215,"Electrical Engineering",2.78
5413401413,"Industrial Engineering",2.66
5413404367,"Mechanical Engineering",2.31
5413402002,"Civil Engineering",3.25
5413402216,"Industrial Engineering",3.06
5413403049,"Electrical Engineering",3.07
5413403393,"Electrical Engineering",3.31
5413403404,"Industrial Engineering",2.73
5413403782,"Civil Engineering",3.68
5413403789,"Civil Engineering",2.82
5413400799,"Civil Engineering",3.59
5413405844,"Civil Engineering",3.54
5413405844,"Civil Engineering",3.49
5413403798,"Civil Engineering",3.58
5413403798,"Civil Engineering",3.53
5413400561,"Chemical & Biological Engineering",3.35
5413400564,"Electrical Engineering",3.57
5413400564,"Electrical Engineering",3.58
5413403809,"Civil Engineering",2.08
5413403822,"Civil Engineering",2.23
5413400586,"No",2.62
5413400624,"Civil Engineering",3.05
5413400662,"Mechanical Engineering",2.89
5413400665,"Electrical Engineering",3.59
5413400680,"Industrial Engineering",2.81
5413400687,"Mechanical Engineering",3.12
5413400687,"Mechanical Engineering",3.07
5413400707,"Electrical Engineering",2.51
5413403848,"Electrical Engineering",2.7
5413403859,"Industrial Engineering",2.56
5413400810,"Chemical & Biological Engineering",3.44
5413400849,"Electrical Engineering",3.41
5413400860,"Electrical Engineering",3.67
5413400878,"Mechanical Engineering",3.73
5413400885,"Industrial Engineering",3.3
5413400894,"Mechanical Engineering",3.55
5413400905,"Civil Engineering",3.53
5413403917,"Electrical Engineering",2.71
5413403917,"Electrical Engineering",2.57
5413400940,"Electrical Engineering",3.64
5413400946,"Industrial Engineering",3.17
5413400957,"Mechanical Engineering",3.45
5413403939,"Chemical & Biological Engineering",3.08
5413400975,"Industrial Engineering",3.76
5413401056,"Mechanical Engineering",3.06
5413401091,"Electrical Engineering",2.66
5413401100,"Civil Engineering",2.68
5413401100,"Civil Engineering",2.77
5413401136,"Electrical Engineering",2.72
5413401157,"Industrial Engineering",2.87
5413401175,"Civil Engineering",2.64
5413405424,"No",2.5
5413401263,"Mechanical Engineering",2.66
5413401305,"Environmental Engineering",2.72
5413404055,"Industrial Engineering",2.59
5413404055,"Industrial Engineering",2.63
5413405458,"Industrial Engineering",2.91
5413404073,"Civil Engineering",2.7
5413404073,"Civil Engineering",2.68
5413401340,"Civil Engineering",3.33
5413405476,"Mechanical Engineering",3.68
5413405483,"Environmental Engineering",2.83
5413405503,"Mechanical Engineering",3.38
5413401355,"Environmental Engineering",3.55
5413404113,"Industrial Engineering",3.17
5413401410,"Mechanical Engineering",2.6
5413401451,"Civil Engineering",3.16
5413404169,"Civil Engineering",2.76
5413401462,"Mechanical Engineering",2.94
5413401465,"Industrial Engineering",2.81
5413401480,"Electrical Engineering",3.61
5413401496,"Civil Engineering",3.11
5413401525,"Electrical Engineering",3.68
5413401525,"Electrical Engineering",3.67
5413401542,"Civil Engineering",2.9
5413401542,"Civil Engineering",2.81
5413401551,"Mechanical Engineering",3.1
5413401562,"Industrial Engineering",2.86
5413401562,"Industrial Engineering",2.67
5413401607,"Electrical Engineering",3.19
5413401653,"Mechanical Engineering",3.17
5413401688,"Industrial Engineering",2.58
5413404277,"No",3.02
5413401697,"Chemical & Biological Engineering",2.67
5413401708,"Industrial Engineering",3.7
5413401733,"Electrical Engineering",3.54
5413401756,"Chemical & Biological Engineering",3.57
5413404339,"Environmental Engineering",3.01
5413404339,"Environmental Engineering",3.05
5413401791,"Mechanical Engineering",3.45
5413401811,"Chemical & Biological Engineering",3.97
5413401814,"Industrial Engineering",3.68
5413401864,"Civil Engineering",3.95
5413401886,"Electrical Engineering",3.43
5413401895,"Mechanical Engineering",3.33
5413401919,"Industrial Engineering",3.42
5413401971,"Electrical Engineering",3.66
5413402031,"Industrial Engineering",3.21
5413402031,"Industrial Engineering",3.13
5413402057,"Electrical Engineering",3.49
5413402101,"Industrial Engineering",3.2
5413402112,"Electrical Engineering",3.33
5413402115,"Industrial Engineering",3.52
5413402130,"Industrial Engineering",2.69
5413402137,"Civil Engineering",3.51
5413404464,"Industrial Engineering",2.59
5413402158,"Civil Engineering",3.44
5413402183,"Mechanical Engineering",3.66
5413402202,"Electrical Engineering",3.08
5413402203,"Mechanical Engineering",3.7
5413402279,"Electrical Engineering",3.35
5413402286,"Civil Engineering",2.93
5413402306,"Electrical Engineering",3.05
5413402319,"Industrial Engineering",3.24
5413402324,"Electrical Engineering",3.19
5413402356,"Mechanical Engineering",3.73
5413402374,"Electrical Engineering",3.36
5413402374,"Electrical Engineering",3.33
5413402391,"Civil Engineering",3.18
5413402400,"Mechanical Engineering",3.1
5413402411,"Civil Engineering",2.94
5413405935,"No",2.47
5413402452,"Electrical Engineering",3.53
5413402452,"Electrical Engineering",3.52
5413405962,"Mechanical Engineering",2.78
5413402466,"Industrial Engineering",3.47
5413402508,"Mechanical Engineering",2.86
5413402521,"Chemical & Biological Engineering",3.23
5413402533,"Electrical Engineering",3.26
5413404637,"No",3.02
5413402568,"Electrical Engineering",3.6
5413402610,"Civil Engineering",3.11
5413402628,"Electrical Engineering",3.87
5413404761,"Chemical & Biological Engineering",2.32
5413404761,"Chemical & Biological Engineering",2.33
5413402635,"No",2.58
