"ID","Program","GPAX"
5313404454,"Electrical Engineering",3.71
5313400771,"Electrical Engineering",3.08
5313401005,"Electrical Engineering",3.53
5313401048,"Mechanical Engineering",3.07
5313401077,"Industrial Engineering",3
5313404724,"Electrical Engineering",2.89
5313401084,"Industrial Engineering",2.94
5313401093,"Civil Engineering",2.53
5313401499,"Mechanical Engineering",3.34
5313401513,"Civil Engineering",3.42
5313402006,"Industrial Engineering",3.61
5313405524,"Industrial Engineering",2.35
5313402511,"Mechanical Engineering",3.07
5313405548,"Industrial Engineering",2.97
5313406408,"Industrial Engineering",2.31
5313410645,"Electrical Engineering",3.09
5313410645,"Electrical Engineering",3.2
5313403837,"Civil Engineering",2.64
5313401288,"Civil Engineering",3.4
5313404809,"Industrial Engineering",3.61
5313406686,"Chemical & Biological Engineering",2.79
5313400567,"Civil Engineering",3.78
5313400627,"Electrical Engineering",2.55
5313400673,"Mechanical Engineering",3.28
5313400699,"Civil Engineering",3.13
5313400728,"Mechanical Engineering",3.32
5313400713,"Mechanical Engineering",2.56
5313400735,"Mechanical Engineering",2.93
5313406904,"Environmental Engineering",1.57
5313404534,"Civil Engineering",3.16
5313400803,"Industrial Engineering",3.3
5313400831,"Civil Engineering",3.31
5313404563,"Industrial Engineering",3.34
5313400897,"Civil Engineering",3.47
5313400866,"Industrial Engineering",2.85
5313404605,"Electrical Engineering",2.99
5313400881,"Electrical Engineering",3.61
5313400888,"Industrial Engineering",3.11
5313400921,"Electrical Engineering",2.84
5313400926,"Environmental Engineering",2.95
5313400963,"Chemical & Biological Engineering",3.42
5313400985,"Civil Engineering",2.78
5313400994,"Mechanical Engineering",3.41
5313401072,"Civil Engineering",3.7
5313401104,"Electrical Engineering",2.54
5313401117,"Industrial Engineering",2.75
5313401139,"Mechanical Engineering",3.2
5313401163,"Electrical Engineering",2.82
5313401185,"Environmental Engineering",3.14
5313401194,"Electrical Engineering",3.28
5313401218,"Electrical Engineering",3.48
5313401223,"Industrial Engineering",3.12
5313407354,"Electrical Engineering",2.87
5313401253,"Mechanical Engineering",3.3
5313401321,"Civil Engineering",2.93
5313401326,"Industrial Engineering",2.65
5313404872,"Mechanical Engineering",3.29
5313404877,"Industrial Engineering",2.29
5313407486,"Industrial Engineering",3.08
5313404893,"Civil Engineering",3.17
5313404904,"Civil Engineering",3.28
5313401416,"Industrial Engineering",3.15
5313401402,"Industrial Engineering",3.4
5313401383,"Mechanical Engineering",2.62
5313401455,"Electrical Engineering",2.75
5313401468,"Electrical Engineering",3.82
5313401473,"Electrical Engineering",2.95
5313401490,"Mechanical Engineering",3.05
5313401510,"Mechanical Engineering",2.56
5313401544,"Electrical Engineering",3.69
5313401555,"Industrial Engineering",3.47
5313401573,"Environmental Engineering",2.62
5313401590,"Environmental Engineering",3.62
5313407792,"Industrial Engineering",2.93
5313407801,"Industrial Engineering",2.86
5313401645,"Civil Engineering",3.49
5313401635,"Civil Engineering",3.31
5313401691,"Electrical Engineering",3.45
5313401736,"Civil Engineering",3.29
5313407948,"Industrial Engineering",2.64
5313407948,"Industrial Engineering",2.61
5313401759,"Civil Engineering",2.74
5313405145,"Civil Engineering",3.18
5313401772,"Mechanical Engineering",2.98
5313401793,"Civil Engineering",3.61
5313401817,"Electrical Engineering",3.18
5313401839,"Electrical Engineering",2.89
5313405191,"Chemical & Biological Engineering",3.34
5313401867,"Mechanical Engineering",3.3
5313401882,"Mechanical Engineering",2.72
5313401889,"Electrical Engineering",3.51
5313401909,"Civil Engineering",2.52
5313405214,"Civil Engineering",3.44
5313401950,"Chemical & Biological Engineering",3.74
5313401961,"Electrical Engineering",3.26
5313401964,"Electrical Engineering",3.11
5313401979,"Civil Engineering",3.09
5313401986,"Mechanical Engineering",2.6
5313405259,"Chemical & Biological Engineering",3.7
5313402024,"Civil Engineering",3.33
5313402060,"Industrial Engineering",3.97
5313402105,"Electrical Engineering",3.4
5313402094,"Mechanical Engineering",3.06
5313408296,"Civil Engineering",3.61
5313410748,"Industrial Engineering",2.22
5313402123,"Mechanical Engineering",3.62
5313402140,"Civil Engineering",2.87
5313402150,"Industrial Engineering",2.62
5313405343,"Chemical & Biological Engineering",3.62
5313402179,"Industrial Engineering",3.05
5313402186,"Civil Engineering",3.23
5313402195,"Mechanical Engineering",3.47
5313402219,"Industrial Engineering",3.39
5313402224,"Mechanical Engineering",3.05
5313402254,"Mechanical Engineering",3.67
5313402298,"Electrical Engineering",3.47
5313408527,"Civil Engineering",3.24
5313408547,"Environmental Engineering",2.94
5313402334,"Electrical Engineering",3.19
5313402348,"Industrial Engineering",3.08
5313402377,"Electrical Engineering",3.63
5313402404,"Civil Engineering",2.89
5313402439,"Civil Engineering",2.71
5313410759,"Environmental Engineering",2.14
5313402474,"Civil Engineering",3.41
5313402491,"Mechanical Engineering",2.69
5313402536,"Electrical Engineering",3.88
5313402571,"Chemical & Biological Engineering",2.86
