"scholarship_code","graduate_GPAX","graduate_GPAX_Group"
1002,2.24,5
1000,2.44,5
1000,2.01,5
1001,2.01,5
1002,2.01,5
1000,2.01,5
1001,2.01,5
1000,1.91,4
1001,2.24,5
1001,1.91,4
1000,2.24,5
1001,2.24,5
1000,2.32,5
1000,2.32,5
1000,2.37,5
1000,2.37,5
1000,2.24,5
1000,2.26,5
1000,2.44,5
1000,2.44,5
1000,2.59,6
1001,2.59,6
1000,2.59,6
1001,2.59,6
1001,1.91,4
1001,2.26,5
1001,2.44,5
1001,2.26,5
1000,1.9,4
1001,1.9,4
1000,1.9,4
1001,1.9,4
1000,1.91,4
1000,2.26,5
1000,2.24,5
1000,2.01,5
1001,2.01,5
1002,2.01,5
1000,2.01,5
1001,2.01,5
1000,2.24,5
1001,1.91,4
1002,2.24,5
1000,2.37,5
1001,2.24,5
1000,2.32,5
1000,2.32,5
1000,2.37,5
1001,2.44,5
1001,2.44,5
1001,2.24,5
1000,2.26,5
1001,2.44,5
1000,2.44,5
1001,2.59,6
1000,1.91,4
1001,2.59,6
1000,2.59,6
1001,2.26,5
1000,2.26,5
1001,2.26,5
1000,1.9,4
1001,1.9,4
1000,1.9,4
1001,1.9,4
1000,1.91,4
1001,1.91,4
1000,2.59,6
1000,2.81,6
1001,3.07,7
1000,3.07,7
1001,3.07,7
1000,3.03,7
1001,3.03,7
1001,2.64,6
1001,3.03,7
1001,2.58,6
1001,2.81,6
1000,2.81,6
1001,2.81,6
1000,2.64,6
1001,2.64,6
1002,2.58,6
1000,3.03,7
1000,2.81,6
1001,3.07,7
1000,3.03,7
1001,3.03,7
1000,3.03,7
1001,3.03,7
1000,2.81,6
1000,3.07,7
1000,3.07,7
1000,2.58,6
1001,2.81,6
1000,2.64,6
1001,2.64,6
1000,2.64,6
1001,2.64,6
1001,2.58,6
1001,2.81,6
1000,2.44,5
1000,2.46,5
1000,2.44,5
1000,2.44,5
1000,2.44,5
1000,2.44,5
1002,2.46,5
1000,2.46,5
1001,2.46,5
1000,2.64,6
1000,2.58,6
1001,2.58,6
1001,2.46,5
1000,2.44,5
1001,3.07,7
1000,2.44,5
1000,2.44,5
1000,2.46,5
1001,2.46,5
1002,2.46,5
1000,2.46,5
1001,2.46,5
1000,2.58,6
1001,2.58,6
1002,2.58,6
1000,2.58,6
1000,3.07,7
1000,2.21,5
1001,2.1,5
1000,2.47,5
1001,2.47,5
1000,2.47,5
1001,2.29,5
1000,2.29,5
1001,2.29,5
1000,2.29,5
1000,2.31,5
1001,2.31,5
1000,2.05,5
1000,2.31,5
1001,2.05,5
1000,2.21,5
1000,2.19,5
1000,2.19,5
1001,2.12,5
1000,2.12,5
1001,2.12,5
1000,2.03,5
1001,2.03,5
1002,2.03,5
1000,2.03,5
1001,2.03,5
1001,2.31,5
1001,2.12,5
1000,2.31,5
1001,2.31,5
1001,2.31,5
1000,2.31,5
1000,2.21,5
1000,2.21,5
1000,2.19,5
1000,2.19,5
