"scholarship_code","graduate_GPAX","graduate_GPAX_Group"
1001,2.53,6
1001,2.53,6
1000,2.53,6
1001,2.59,6
1000,2.46,5
1001,2.59,6
1000,2.59,6
1000,2.53,6
1000,2.46,5
1001,2.59,6
1001,2.46,5
1000,2.59,6
1001,2.59,6
1000,2.59,6
1000,2.53,6
1001,2.46,5
1001,2.46,5
1000,2.59,6
1000,2.46,5
1001,2.46,5
1001,2.53,6
1000,2.46,5
1001,2.53,6
1000,2.53,6
1001,2.27,5
1000,2.27,5
1001,2.27,5
1000,2.27,5
1002,2.27,5
1001,2.27,5
1002,2.27,5
1001,2.27,5
1002,2.27,5
1000,2.27,5
1002,2.27,5
1000,2.27,5
1001,2.27,5
1000,2.27,5
1001,2.27,5
1000,2.27,5
1002,2.27,5
1001,2.27,5
1002,2.27,5
1001,2.27,5
1002,2.27,5
1000,2.27,5
1002,2.27,5
1000,2.27,5
1001,2.27,5
1000,2.27,5
1001,2.27,5
1000,2.27,5
1002,2.27,5
1001,2.27,5
1002,2.27,5
1001,2.27,5
1002,2.27,5
1000,2.27,5
1002,2.27,5
1000,2.27,5
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1000,2.92,6
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1000,2.92,6
1001,2.92,6
1001,2.92,6
1000,2.92,6
1000,2.92,6
1001,3.29,7
1000,3.29,7
1001,3.14,7
1000,3.14,7
1000,3.29,7
1001,3.29,7
1001,3.14,7
1002,3.29,7
1001,3.29,7
1000,3.14,7
1000,3.14,7
1001,3.29,7
1002,3.29,7
1000,3.29,7
1001,3.14,7
1000,3.14,7
1002,3.14,7
1001,3.14,7
1002,3.14,7
1000,3.29,7
1001,2.75,6
1000,2.75,6
1000,2.75,6
1001,2.73,6
1001,2.73,6
1000,2.73,6
1000,2.75,6
1000,2.73,6
1001,2.75,6
1000,2.73,6
1001,2.73,6
1001,2.73,6
1000,2.73,6
1001,2.75,6
1000,2.75,6
1001,2.75,6
1001,2.75,6
1000,2.75,6
1000,2.75,6
1001,2.73,6
1001,2.73,6
1000,2.73,6
1000,2.75,6
1000,2.73,6
1001,2.75,6
1000,2.73,6
1001,2.73,6
1001,2.73,6
1000,2.73,6
1001,2.75,6
1000,2.75,6
1001,2.75,6
1001,2.97,6
1000,2.97,6
1000,2.71,6
1001,2.71,6
1001,2.97,6
1000,2.71,6
1000,2.71,6
1001,2.71,6
1000,2.71,6
1001,2.71,6
1000,2.97,6
1001,2.97,6
1001,2.97,6
1000,2.97,6
1000,2.97,6
1001,2.71,6
1000,2.67,6
1000,2.45,5
1001,2.45,5
1001,2.67,6
1001,2.67,6
1000,2.67,6
1000,2.45,5
1001,2.45,5
1000,2.45,5
1000,2.45,5
1001,2.45,5
1001,2.45,5
1001,2.45,5
1000,2.45,5
1000,2.67,6
1001,2.67,6
1001,2.67,6
1000,2.67,6
1001,2.45,5
1000,2.45,5
1000,2.45,5
1001,2.45,5
1001,2.45,5
1000,2.45,5
1000,2.67,6
1000,2.45,5
1001,2.45,5
1001,2.67,6
1001,2.67,6
1000,2.67,6
1000,2.45,5
1001,2.45,5
1000,2.45,5
1000,2.45,5
1001,2.45,5
1001,2.45,5
1001,2.45,5
1000,2.45,5
1000,2.67,6
1001,2.67,6
1001,2.67,6
1000,2.67,6
1001,2.45,5
1000,2.45,5
1000,2.45,5
1001,2.45,5
1001,2.45,5
1000,2.45,5
1001,3.18,7
1001,3.18,7
1000,3.18,7
1002,3.53,8
1001,3.53,8
1002,3.18,7
1002,3.18,7
1000,3.18,7
1002,3.53,8
1001,3.53,8
1000,3.53,8
1000,3.53,8
1000,2.68,6
1001,2.68,6
