"","X.1","X","ID","EnrolledYear","Semester","GPA","X2553_GPAX","entry2553_GPAX"
"1",8,13,5313404454,2556,1,2.44,2.32,3.71
"3",16,104,5313400771,2556,1,2.36,2.44,3.08
"5",24,144,5313401005,2556,1,1.94,2.19,3.53
"7",36,219,5313401048,2556,1,1.59,2.01,3.07
"10",45,285,5313401077,2556,1,2.68,2.62,3
"12",55,356,5313404724,2556,1,2.75,2.94,2.89
"14",71,570,5313401093,2556,1,2.93,2.9,2.53
"17",81,630,5313401499,2556,1,3.44,2.89,3.34
"18",88,707,5313401513,2556,1,2.4,2.49,3.42
"19",97,789,5313402006,2556,1,2.07,2.22,3.61
"22",109,962,5313405524,2556,1,1.24,1.92,2.35
"25",121,1028,5313402511,2556,1,3.21,2.33,3.07
"26",133,1106,5313406408,2556,1,3.67,2.81,2.31
"28",149,1189,5313410645,2556,1,3.25,2.42,3.09
"29",150,1257,5313410645,2556,1,3.25,2.42,3.2
"32",160,1307,5313403837,2556,1,2.22,2.33,2.64
"35",170,1455,5313401288,2556,1,3.55,3.62,3.4
"36",184,1577,5313406686,2556,1,2.82,2.35,2.79
"37",192,1685,5313400567,2556,1,2.89,2.42,3.78
"39",209,1918,5313400673,2556,1,2.37,2.35,3.28
"40",218,2063,5313400699,2556,1,2.42,2.37,3.13
"41",230,2169,5313400728,2556,1,3.29,2.78,3.32
"42",238,2295,5313400713,2556,1,2.79,2.52,2.56
"44",263,2510,5313400803,2556,1,2.83,2.33,3.3
"45",271,2563,5313400831,2556,1,1.09,1.94,3.31
"48",288,2705,5313400897,2556,1,1.62,2.25,3.47
"50",298,2880,5313400866,2556,1,1.39,2.23,2.85
"53",310,3088,5313404605,2556,1,3.18,2.53,2.99
"54",318,3158,5313400881,2556,1,1.12,2.12,3.61
"57",342,3349,5313400926,2556,1,2.85,2.43,2.95
"58",349,3405,5313400963,2556,1,4,2.57,3.42
"59",361,3546,5313400985,2556,1,2.75,2.64,2.78
"60",368,3599,5313400994,2556,1,3.21,2.64,3.41
"61",376,3657,5313401072,2556,1,2.82,2.69,3.7
"62",391,3743,5313401117,2556,1,2.95,2.73,2.75
"63",398,3811,5313401139,2556,1,3.35,3.23,3.2
"64",406,3856,5313401163,2556,1,1.66,2.1,2.82
"66",423,4017,5313401218,2556,1,0,2.09,3.48
"68",443,4239,5313401253,2556,1,3.32,2.45,3.3
"69",458,4341,5313401326,2556,1,3.33,2.6,2.65
"71",467,4417,5313404872,2556,1,2.71,2.15,3.29
"73",477,4511,5313404877,2556,1,2,2.22,2.29
"76",486,4648,5313407486,2556,1,3.33,2.82,3.08
"78",497,4719,5313404893,2556,1,2.35,2.23,3.17
"80",516,4855,5313401383,2556,1,2.82,2.33,2.62
"83",530,5003,5313401468,2556,1,2.68,2.57,3.82
"84",538,5071,5313401473,2556,1,3.03,2.49,2.95
"85",547,5195,5313401490,2556,1,2.4,2.37,3.05
"88",557,5274,5313401510,2556,1,2.96,2.53,2.56
"89",564,5350,5313401544,2556,1,2.69,2.74,3.69
"91",572,5407,5313401555,2556,1,1.71,2.26,3.47
