"","X","ID","EnrolledYear","Semester","GPA","X2555_GPAX","entry2553_GPAX"
"7",10,5513402960,2557,1,2.06,2.13,3.34
"8",6,5513402960,2557,2,1.63,2.09,3.34
"15",60,5513403431,2557,1,1.36,1.99,3.23
"16",71,5513403431,2557,2,1.85,1.97,3.23
"27",157,5513404010,2557,1,2.59,2.2,2.83
"28",165,5513404010,2557,2,2.08,2.24,2.83
"33",204,5513400789,2557,1,2.5,2.44,3.2
"34",206,5513400789,2557,2,2.3,2.47,3.2
"41",269,5513405423,2557,1,1.63,2.01,2.05
"42",265,5513405423,2557,2,2.37,2.08,2.05
"59",310,5513407572,2557,1,2.41,2,2.01
"60",29771,5513407572,2557,1,2.41,2,2.18
"61",314,5513407572,2557,2,1.9,2.03,2.01
"62",29775,5513407572,2557,2,1.9,2.03,2.18
"87",418,5513407220,2557,1,3.6,3.04,3.12
"88",27033,5513407220,2557,1,3.6,3.04,3.18
"89",28385,5513407220,2557,1,3.6,3.04,3.21
"90",404,5513407220,2557,2,3.4,3.1,3.12
"91",27019,5513407220,2557,2,3.4,3.1,3.18
"92",28371,5513407220,2557,2,3.4,3.1,3.21
"99",472,5513407061,2557,1,1.29,1.87,2.44
"105",483,5513402146,2557,1,2.36,2.42,3.18
"106",485,5513402146,2557,2,2.14,2.37,3.18
"113",537,5513406164,2557,1,1.5,1.92,2.32
"114",546,5513406164,2557,2,2.5,2.14,2.32
"121",639,5513405180,2557,1,1.21,1.97,3.07
"122",625,5513405180,2557,2,0.96,1.75,3.07
"127",668,5513403584,2557,1,2.75,2.6,2.69
"128",654,5513403584,2557,2,3.05,2.69,2.69
"141",747,5513405501,2557,1,1.38,1.94,2.89
"142",28027,5513405501,2557,1,1.38,1.94,2.9
"143",741,5513405501,2557,2,1.25,1.87,2.89
"144",28021,5513405501,2557,2,1.25,1.87,2.9
"154",809,5513404928,2557,1,1.11,2.19,2.89
"155",799,5513404928,2557,2,1.27,2.12,2.89
"161",861,5513404868,2557,1,1.93,2,2.95
"162",855,5513404868,2557,2,1.43,1.96,2.95
"167",906,5513403973,2557,1,3.29,3.38,2.73
"168",901,5513403973,2557,2,3.29,3.37,2.73
"174",940,5513407360,2557,1,1.5,1.87,2.8
"175",947,5513407360,2557,2,1.95,1.99,2.8
"181",1004,5513400650,2557,1,2.1,2.23,3.22
"182",1007,5513400650,2557,2,1.93,2.18,3.22
"189",1046,5513401409,2557,1,1.58,2.26,2.5
"190",1052,5513401409,2557,2,2.85,2.39,2.5
"196",1147,5513405079,2557,1,2.08,2.06,2.68
"197",1145,5513405079,2557,2,1.22,1.99,2.68
"201",1187,5513403438,2557,1,2.75,2.72,3.49
"202",1183,5513403438,2557,2,3.03,2.77,3.49
"208",1209,5513401398,2557,1,2.53,2.54,3.49
"209",1206,5513401398,2557,2,2.75,2.58,3.49
"218",1256,5513405793,2557,1,3.5,3.35,3.31
"219",27983,5513405793,2557,1,3.5,3.35,3.1
"220",1252,5513405793,2557,2,3.23,3.33,3.31
"221",27979,5513405793,2557,2,3.23,3.33,3.1
"226",1279,5513402344,2557,1,2.75,2.99,3.17
"227",1276,5513402344,2557,2,3.26,3.04,3.17
"232",1331,5513400932,2557,1,3.22,3.41,2.83
"233",1327,5513400932,2557,2,3.46,3.42,2.83
"238",1363,5513402609,2557,1,2.62,2.2,2.66
"239",1372,5513402609,2557,2,1.95,2.27,2.66
"245",1398,5513403297,2557,1,3.43,2.97,2.8
"246",1401,5513403297,2557,2,3.29,3.03,2.8
"252",1453,5513400594,2557,1,1.53,1.89,2.82
"253",1446,5513400594,2557,2,2.5,2.07,2.82
"254",1447,5513400594,2557,3,0,2.07,2.82
"259",1561,5513405378,2557,1,2.94,3.39,2.77
"260",1558,5513405378,2557,2,3.16,3.35,2.77
"265",1614,5513404155,2557,1,3,3.25,3.23
"266",1609,5513404155,2557,2,2.91,3.19,3.23
"276",1697,5513404485,2557,1,1.85,2.03,2.83
"277",1695,5513404485,2557,2,2.35,2.08,2.83
"286",1731,5513407299,2557,1,3.87,3.49,3.62
"287",28155,5513407299,2557,1,3.87,3.49,3.65
"288",1729,5513407299,2557,2,3.81,3.55,3.62
"289",28153,5513407299,2557,2,3.81,3.55,3.65
"298",1791,5513407310,2557,1,3.42,2.88,3.18
"299",28215,5513407310,2557,1,3.42,2.88,3.14
"300",1787,5513407310,2557,2,3.74,3.04,3.18
"301",28211,5513407310,2557,2,3.74,3.04,3.14
"306",1821,5513402852,2557,1,3.27,3.38,3.19
"307",1816,5513402852,2557,2,2.69,3.25,3.19
"312",1918,5513400969,2557,1,2.75,2.97,3.37
"313",1913,5513400969,2557,2,2.9,2.96,3.37
"319",1967,5513402589,2557,1,2.61,2.5,2.68
"320",1959,5513402589,2557,2,2.37,2.47,2.68
"325",2018,5513406785,2557,1,1.41,1.97,3.51
"326",2013,5513406785,2557,2,2.39,2.04,3.51
"332",2027,5513402853,2557,1,3.25,2.78,3.41
"333",2035,5513402853,2557,2,2.5,2.73,3.41
"343",2190,5513403510,2557,1,2.34,2.31,2.78
"344",2184,5513403510,2557,2,1.95,2.25,2.78
"345",2192,5513403510,2557,3,0,2.25,2.78
"351",2236,5513400877,2557,1,1.75,2,3.55
"352",2234,5513400877,2557,2,1.53,1.96,3.55
"357",2268,5513404028,2557,1,2.43,2.59,3.02
"358",2282,5513404028,2557,2,2.71,2.61,3.02
"373",2428,5513404805,2557,1,2.34,2.91,2.71
"374",2432,5513404805,2557,2,2.55,2.85,2.71
"381",2515,5513403416,2557,1,1.63,2.22,3.36
"382",2512,5513403416,2557,2,3.2,2.42,3.36
"389",2577,5513402428,2557,1,1.35,1.95,2.91
"390",2580,5513402428,2557,2,0.45,1.76,2.91
"396",2700,5513404965,2557,1,1.93,2.17,2.75
"397",2694,5513404965,2557,2,2.14,2.17,2.75
"403",2732,5513401707,2557,1,2.13,2.38,3.29
"404",2738,5513401707,2557,2,2.3,2.36,3.29
"417",2810,5513402091,2557,1,2.2,2.32,2.96
"418",27595,5513402091,2557,1,2.2,2.32,3.03
"419",2809,5513402091,2557,2,2.76,2.4,2.96
"420",27594,5513402091,2557,2,2.76,2.4,3.03
"427",2838,5513402129,2557,1,2.03,2.54,3.52
"428",2840,5513402129,2557,2,1.79,2.42,3.52
"434",2963,5513404591,2557,1,2.94,2.6,2.84
"435",2969,5513404591,2557,2,2.3,2.55,2.84
"442",3012,5513403473,2557,1,1.72,2.04,2.61
"443",3016,5513403473,2557,2,2.14,2.11,2.61
"449",3064,5513402230,2557,1,2.3,2.3,2.73
"450",3060,5513402230,2557,2,2.03,2.25,2.73
"457",3116,5513401755,2557,1,1.79,2.28,2.74
"458",3108,5513401755,2557,2,1.66,2.18,2.74
"470",3215,5513404794,2557,1,3,3.24,3.87
"471",3210,5513404794,2557,2,3.18,3.23,3.87
"478",3249,5513403403,2557,1,2.22,2.07,2.79
"479",3247,5513403403,2557,2,2.25,2.11,2.79
"490",3416,5513402373,2557,1,2.58,2.35,3.04
"491",3400,5513402373,2557,2,2.75,2.43,3.04
"496",3459,5513404737,2557,1,3.37,2.91,2.6
"497",3447,5513404737,2557,2,3.3,2.98,2.6
"504",3499,5513401506,2557,1,2.43,2.78,3.08
"505",3503,5513401506,2557,2,2.35,2.72,3.08
"512",3616,5513401110,2557,1,2.8,2.5,3.08
"513",3628,5513401110,2557,2,3.29,2.65,3.08
"517",3665,5513406322,2557,1,1.91,2.17,2.6
"518",3666,5513406322,2557,2,2.57,2.3,2.6
"525",3692,5513402030,2557,1,2.13,2.11,2.53
"526",3707,5513402030,2557,2,2.2,2.12,2.53
"533",3873,5513400939,2557,1,1.5,2.02,3.24
"534",3864,5513400939,2557,2,1.69,2.02,3.24
"541",3922,5513402435,2557,1,1.62,1.94,2.8
"542",3924,5513402435,2557,2,2.13,1.98,2.8
"549",3981,5513401464,2557,1,2.15,2.56,2.76
"550",3978,5513401464,2557,2,1.88,2.46,2.76
