"","X","ID","EnrolledYear","Semester","GPA","X2556_GPAX","entry2553_GPAX","group"
"1",14,5613400878,2556,1,3.09,3.09,3.14,7
"2",12976,5613400878,2556,1,3.09,3.09,3.15,7
"3",1,5613400878,2556,2,3,3.04,3.14,7
"4",12963,5613400878,2556,2,3,3.04,3.15,7
"5",4,5613400878,2557,1,2.48,2.85,3.14,7
"6",12966,5613400878,2557,1,2.48,2.85,3.15,7
"7",3,5613400878,2557,2,2.58,2.78,3.14,7
"8",12965,5613400878,2557,2,2.58,2.78,3.15,7
"9",2,5613400878,2557,3,3.5,2.83,3.14,7
"10",12964,5613400878,2557,3,3.5,2.83,3.15,7
"11",35,5613405503,2556,1,1.9,1.9,3.37,7
"12",13533,5613405503,2556,1,1.9,1.9,3.35,7
"13",33,5613405503,2556,2,1.75,2,3.37,7
"14",13531,5613405503,2556,2,1.75,2,3.35,7
"15",34,5613405503,2557,1,1.3,1.81,3.37,7
"16",13532,5613405503,2557,1,1.3,1.81,3.35,7
"17",40,5613405503,2557,2,1.85,1.91,3.37,7
"18",13538,5613405503,2557,2,1.85,1.91,3.35,7
"19",36,5613405503,2557,3,3,2,3.37,7
"20",13534,5613405503,2557,3,3,2,3.35,7
"21",74,5613406025,2556,1,2.48,2.48,3.54,8
"22",77,5613406025,2556,2,2.6,2.53,3.54,8
"23",66,5613406025,2557,1,1.68,2.22,3.54,8
"24",65,5613406025,2557,2,2.14,2.29,3.54,8
"25",67,5613406025,2557,3,2.38,2.29,3.54,8
"26",94,5613401462,2556,1,2.74,2.74,3.9,8
"27",13148,5613401462,2556,1,2.74,2.74,3.91,8
"28",85,5613401462,2556,2,2.85,2.79,3.9,8
"29",13139,5613401462,2556,2,2.85,2.79,3.91,8
"30",83,5613401462,2556,3,2.75,2.79,3.9,8
"31",13137,5613401462,2556,3,2.75,2.79,3.91,8
"32",81,5613401462,2557,1,2.47,2.69,3.9,8
"33",13135,5613401462,2557,1,2.47,2.69,3.91,8
"34",90,5613401462,2557,2,3.12,2.81,3.9,8
"35",13144,5613401462,2557,2,3.12,2.81,3.91,8
"36",87,5613401462,2557,3,2,2.75,3.9,8
"37",13141,5613401462,2557,3,2,2.75,3.91,8
"38",128,5613403809,2556,1,2.53,2.53,3.53,8
"39",13438,5613403809,2556,1,2.53,2.53,3.52,8
"40",123,5613403809,2556,2,2.57,2.55,3.53,8
"41",13433,5613403809,2556,2,2.57,2.55,3.52,8
"42",117,5613403809,2557,1,1.65,2.22,3.53,8
"43",13427,5613403809,2557,1,1.65,2.22,3.52,8
"44",120,5613403809,2557,2,2.37,2.27,3.53,8
"45",13430,5613403809,2557,2,2.37,2.27,3.52,8
"46",118,5613403809,2557,3,4,2.33,3.53,8
"47",13428,5613403809,2557,3,4,2.33,3.52,8
"48",163,5613401344,2556,1,3.84,3.84,3.67,8
"49",12945,5613401344,2556,1,3.84,3.84,3.65,8
"50",149,5613401344,2556,2,3.66,3.75,3.67,8
"51",12931,5613401344,2556,2,3.66,3.75,3.65,8
"52",152,5613401344,2557,1,3.07,3.5,3.67,8
"53",12934,5613401344,2557,1,3.07,3.5,3.65,8
"54",151,5613401344,2557,2,3.3,3.45,3.67,8
"55",12933,5613401344,2557,2,3.3,3.45,3.65,8
"56",150,5613401344,2557,3,4,3.49,3.67,8
"57",12932,5613401344,2557,3,4,3.49,3.65,8
"58",190,5613405794,2556,1,2.85,2.85,3.6,8
"59",13216,5613405794,2556,1,2.85,2.85,3.66,8
"60",181,5613405794,2556,2,2.03,2.39,3.6,8
"61",13207,5613405794,2556,2,2.03,2.39,3.66,8
"62",183,5613405794,2557,1,2.86,2.57,3.6,8
"63",13209,5613405794,2557,1,2.86,2.57,3.66,8
"64",187,5613405794,2557,2,3.33,2.76,3.6,8
"65",13213,5613405794,2557,2,3.33,2.76,3.66,8
"66",218,5613401435,2556,1,3.06,3.06,3.68,8
"67",13244,5613401435,2556,1,3.06,3.06,3.61,8
"68",206,5613401435,2556,2,2.67,2.87,3.68,8
"69",13232,5613401435,2556,2,2.67,2.87,3.61,8
"70",209,5613401435,2557,1,2.64,2.78,3.68,8
"71",13235,5613401435,2557,1,2.64,2.78,3.61,8
"72",207,5613401435,2557,2,2.73,2.77,3.68,8
"73",13233,5613401435,2557,2,2.73,2.77,3.61,8
"74",205,5613401435,2557,3,4,2.86,3.68,8
"75",13231,5613401435,2557,3,4,2.86,3.61,8
"76",269,5613404284,2556,1,1.33,1.33,2.61,6
"77",270,5613404284,2556,2,0,0.9,2.61,6
"78",286,5613406064,2556,1,3.2,3.2,3.5,8
"79",277,5613406064,2556,2,3.23,3.21,3.5,8
"80",278,5613406064,2556,3,3.6,3.26,3.5,8
"81",282,5613406064,2557,1,2.83,3.12,3.5,8
"82",279,5613406064,2557,2,3.39,3.19,3.5,8
"83",296,5613406446,2556,1,1.85,1.85,2.17,5
"84",13946,5613406446,2556,1,1.85,1.85,2.22,5
"85",291,5613406446,2556,2,2.43,2.12,2.17,5
"86",13941,5613406446,2556,2,2.43,2.12,2.22,5
"87",295,5613406446,2556,3,2,2.11,2.17,5
"88",13945,5613406446,2556,3,2,2.11,2.22,5
"89",294,5613406446,2557,1,2.86,2.4,2.17,5
"90",13944,5613406446,2557,1,2.86,2.4,2.22,5
"91",292,5613406446,2557,2,3.15,2.58,2.17,5
"92",13942,5613406446,2557,2,3.15,2.58,2.22,5
"93",302,5613406446,2557,3,3.5,2.62,2.17,5
"94",13952,5613406446,2557,3,3.5,2.62,2.22,5
"95",339,5613406268,2556,1,2.27,2.27,2.66,6
"96",14347,5613406268,2556,1,2.27,2.27,2.83,6
"97",336,5613406268,2556,2,2.24,2.25,2.66,6
"98",14344,5613406268,2556,2,2.24,2.25,2.83,6
"99",327,5613406268,2557,1,1.37,1.95,2.66,6
"100",14335,5613406268,2557,1,1.37,1.95,2.83,6
"101",330,5613406268,2557,2,2.1,2.07,2.66,6
"102",14338,5613406268,2557,2,2.1,2.07,2.83,6
"103",334,5613406268,2557,3,0,2.07,2.66,6
"104",14342,5613406268,2557,3,0,2.07,2.83,6
"105",360,5613400975,2556,1,2.78,2.78,3.64,8
"106",13392,5613400975,2556,1,2.78,2.78,3.66,8
"107",363,5613400975,2556,2,2.55,2.66,3.64,8
"108",13395,5613400975,2556,2,2.55,2.66,3.66,8
"109",359,5613400975,2556,3,3.75,2.8,3.64,8
"110",13391,5613400975,2556,3,3.75,2.8,3.66,8
"111",409,5613401305,2556,1,2.79,2.79,2.94,6
"112",407,5613401305,2556,2,2.3,2.56,2.94,6
"113",414,5613401305,2556,3,3.25,2.66,2.94,6
"114",419,5613401305,2557,1,1.79,2.39,2.94,6
"115",415,5613401305,2557,2,1.95,2.29,2.94,6
"116",411,5613401305,2557,3,3.5,2.38,2.94,6
"117",454,5613401212,2556,1,3.21,3.21,3.51,8
"118",13526,5613401212,2556,1,3.21,3.21,3.48,7
"119",451,5613401212,2556,2,3.12,3.16,3.51,8
"120",13523,5613401212,2556,2,3.12,3.16,3.48,7
"121",459,5613403474,2556,1,2.74,2.74,3.41,7
"122",13791,5613403474,2556,1,2.74,2.74,3.37,7
"123",470,5613403474,2556,2,2.92,2.83,3.41,7
"124",13802,5613403474,2556,2,2.92,2.83,3.37,7
"125",466,5613403474,2557,1,1.91,2.48,3.41,7
"126",13798,5613403474,2557,1,1.91,2.48,3.37,7
"127",460,5613403474,2557,2,1.96,2.33,3.41,7
"128",13792,5613403474,2557,2,1.96,2.33,3.37,7
"129",461,5613403474,2557,3,3.2,2.38,3.41,7
"130",13793,5613403474,2557,3,3.2,2.38,3.37,7
"131",499,5613402711,2556,1,2.92,2.92,2.7,6
"132",501,5613402711,2556,2,2.48,2.68,2.7,6
"133",491,5613402711,2557,1,1.83,2.38,2.7,6
"134",495,5613402711,2557,2,2.35,2.37,2.7,6
"135",639,5613402889,2556,1,2.3,2.3,2.94,6
"136",637,5613402889,2556,2,2.58,2.45,2.94,6
"137",636,5613402889,2557,1,1.63,2.2,2.94,6
"138",645,5613402889,2557,2,1.91,2.13,2.94,6
"139",635,5613402889,2557,3,2.5,2.25,2.94,6
"140",682,5613401030,2556,1,2.53,2.53,2.98,6
"141",668,5613401030,2556,2,3.03,2.8,2.98,6
"142",669,5613401030,2557,1,2.4,2.66,2.98,6
"143",667,5613401030,2557,2,1.98,2.48,2.98,6
"144",678,5613401030,2557,3,3.5,2.55,2.98,6
"145",700,5613402238,2556,1,2.8,2.8,3.24,7
"146",703,5613402238,2556,2,2.56,2.68,3.24,7
"147",701,5613402238,2557,1,3.39,2.95,3.24,7
"148",707,5613402238,2557,2,3.63,3.13,3.24,7
"149",699,5613402238,2557,3,3.75,3.17,3.24,7
"150",779,5613402003,2556,1,2.5,2.5,3.23,7
"151",14027,5613402003,2556,1,2.5,2.5,3.27,7
"152",765,5613402003,2556,2,2.55,2.53,3.23,7
"153",14013,5613402003,2556,2,2.55,2.53,3.27,7
"154",766,5613402003,2556,3,3.5,2.61,3.23,7
"155",14014,5613402003,2556,3,3.5,2.61,3.27,7
"156",764,5613402003,2557,1,2.22,2.49,3.23,7
"157",14012,5613402003,2557,1,2.22,2.49,3.27,7
"158",772,5613402003,2557,2,2.48,2.49,3.23,7
"159",14020,5613402003,2557,2,2.48,2.49,3.27,7
"160",763,5613402003,2557,3,2.5,2.49,3.23,7
"161",14011,5613402003,2557,3,2.5,2.49,3.27,7
"162",814,5613404236,2556,1,3.21,3.21,3.83,8
"163",13114,5613404236,2556,1,3.21,3.21,3.78,8
"164",801,5613404236,2556,2,3.37,3.29,3.83,8
"165",13101,5613404236,2556,2,3.37,3.29,3.78,8
"166",803,5613404236,2556,3,4,3.39,3.83,8
"167",13103,5613404236,2556,3,4,3.39,3.78,8
"168",805,5613404236,2557,1,3.46,3.42,3.83,8
"169",13105,5613404236,2557,1,3.46,3.42,3.78,8
"170",799,5613404236,2557,2,3.75,3.5,3.83,8
"171",13099,5613404236,2557,2,3.75,3.5,3.78,8
"172",800,5613404236,2557,3,4,3.53,3.83,8
"173",13100,5613404236,2557,3,4,3.53,3.78,8
"174",835,5613403640,2556,1,2.44,2.44,3.29,7
"175",839,5613403640,2556,2,2.17,2.29,3.29,7
"176",840,5613403640,2556,3,3.5,2.48,3.29,7
"177",836,5613403640,2557,1,2.18,2.39,3.29,7
"178",846,5613403640,2557,2,1.77,2.23,3.29,7
"179",837,5613403640,2557,3,1.5,2.18,3.29,7
"180",907,5613404952,2556,1,0.24,0.24,3.21,7
"181",916,5613404786,2556,1,2.23,2.23,3.18,7
"182",911,5613404786,2556,2,1.92,2.27,3.18,7
"183",913,5613404786,2556,3,1.5,2.41,3.18,7
"184",909,5613404786,2557,1,0.85,1.81,3.18,7
"185",919,5613404786,2557,2,1.93,2.01,3.18,7
"186",910,5613404786,2557,3,3,2.09,3.18,7
"187",945,5613401487,2556,1,2.48,2.48,2.88,6
"188",953,5613401487,2556,2,2.17,2.32,2.88,6
"189",950,5613401487,2556,3,3,2.42,2.88,6
"190",946,5613401487,2557,1,1.59,2.28,2.88,6
"191",954,5613401487,2557,2,2.61,2.37,2.88,6
"192",958,5613401487,2557,3,3.75,2.47,2.88,6
"193",1017,5613401653,2556,1,3.24,3.24,3.53,8
"194",1019,5613401653,2556,2,3.16,3.2,3.53,8
"195",1034,5613400606,2556,1,3.07,3.07,2.99,6
"196",1032,5613400606,2556,2,2.64,2.83,2.99,6
"197",1025,5613400606,2556,3,2,2.71,2.99,6
"198",1027,5613400606,2557,1,2.75,2.72,2.99,6
"199",1030,5613400606,2557,2,2.74,2.73,2.99,6
"200",1036,5613400606,2557,3,3,2.75,2.99,6
"201",1062,5613405107,2556,1,3.39,3.39,3.35,7
"202",1061,5613405107,2556,2,2.86,3.11,3.35,7
"203",1069,5613403118,2556,1,1.33,1.33,2.77,6
"204",1074,5613400619,2556,1,2.5,2.5,2.78,6
"205",1085,5613400619,2556,2,2.24,2.37,2.78,6
"206",1081,5613400619,2557,1,1.35,1.99,2.78,6
"207",1077,5613400619,2557,2,1.04,1.79,2.78,6
"208",1071,5613400619,2557,3,3.75,1.96,2.78,6
"209",1103,5613401507,2556,1,3.16,3.16,3.5,8
"210",1115,5613401507,2556,2,3.7,3.44,3.5,8
"211",1105,5613401507,2557,1,3.46,3.45,3.5,8
"212",1104,5613401507,2557,2,3.55,3.47,3.5,8
"213",1111,5613401507,2557,3,3.75,3.49,3.5,8
"214",1121,5613401390,2556,1,1.25,1.25,2.7,6
"215",1122,5613401390,2556,2,2.11,1.88,2.7,6
"216",1123,5613401390,2556,3,1,1.89,2.7,6
"217",1119,5613401390,2557,1,1.6,1.79,2.7,6
"218",1129,5613401390,2557,2,2.75,2.09,2.7,6
"219",1120,5613401390,2557,3,2.67,2.25,2.7,6
"220",1164,5613402319,2556,1,2.45,2.45,3.58,8
"221",14002,5613402319,2556,1,2.45,2.45,3.66,8
"222",1167,5613402319,2556,2,2.29,2.37,3.58,8
"223",14005,5613402319,2556,2,2.29,2.37,3.66,8
"224",1169,5613402319,2556,3,1.75,2.45,3.58,8
"225",14007,5613402319,2556,3,1.75,2.45,3.66,8
"226",1155,5613402319,2557,1,1.96,2.28,3.58,8
"227",13993,5613402319,2557,1,1.96,2.28,3.66,8
"228",1160,5613402319,2557,2,2.31,2.29,3.58,8
"229",13998,5613402319,2557,2,2.31,2.29,3.66,8
"230",1157,5613402319,2557,3,3.6,2.37,3.58,8
"231",13995,5613402319,2557,3,3.6,2.37,3.66,8
"232",1174,5613404099,2556,1,2.97,2.97,3.75,8
"233",1175,5613404099,2556,2,2.77,2.87,3.75,8
"234",1177,5613404099,2556,3,4,3.03,3.75,8
"235",1173,5613404099,2557,1,2.12,2.71,3.75,8
"236",1180,5613404099,2557,2,2.46,2.65,3.75,8
"237",1212,5613405657,2556,1,2.78,2.78,3.55,8
"238",1202,5613405657,2556,2,2.82,2.8,3.55,8
"239",1204,5613405657,2556,3,4,2.96,3.55,8
"240",1201,5613405657,2557,1,2.25,2.76,3.55,8
"241",1209,5613405657,2557,2,3.24,2.87,3.55,8
"242",1241,5613403789,2556,1,2.04,2.04,2.89,6
"243",1243,5613403789,2556,2,0,1.02,2.89,6
"244",1272,5613401480,2556,1,2.54,2.54,3.7,8
"245",1271,5613401480,2556,2,2.74,2.64,3.7,8
"246",1269,5613401480,2556,3,3.5,2.78,3.7,8
"247",1249,5613401480,2557,1,3.03,2.87,3.7,8
"248",1251,5613401480,2557,2,3.4,3,3.7,8
"249",1250,5613401480,2557,3,4,3.09,3.7,8
"250",1300,5613401886,2556,1,2.34,2.34,3.52,8
"251",1286,5613401886,2556,2,2.63,2.49,3.52,8
"252",1285,5613401886,2556,3,2.75,2.53,3.52,8
"253",1287,5613401886,2557,1,2.5,2.52,3.52,8
"254",1293,5613401886,2557,2,2.47,2.51,3.52,8
"255",1297,5613401886,2557,3,2,2.49,3.52,8
"256",1323,5613401263,2556,1,2.3,2.3,3.85,8
"257",1321,5613401263,2556,2,1.77,2.02,3.85,8
"258",1329,5613401263,2556,3,2.75,2.29,3.85,8
"259",1333,5613401263,2557,1,1.6,2.05,3.85,8
"260",1330,5613401263,2557,2,2.19,2.09,3.85,8
"261",1325,5613401263,2557,3,2.75,2.13,3.85,8
"262",1357,5613405749,2556,1,2.92,2.92,3.28,7
"263",1362,5613405749,2556,2,2.66,2.79,3.28,7
"264",1358,5613405749,2557,1,2.98,2.87,3.28,7
"265",1364,5613405749,2557,2,3.15,2.93,3.28,7
"266",1366,5613405749,2557,3,4,2.98,3.28,7
"267",1434,5613400923,2556,1,2.39,2.39,3.03,7
"268",1423,5613400923,2556,2,2.66,2.52,3.03,7
"269",1424,5613400923,2556,3,2,2.48,3.03,7
"270",1422,5613400923,2557,1,1.3,2.11,3.03,7
"271",1429,5613400923,2557,2,1.46,1.92,3.03,7
"272",1421,5613400923,2557,3,2.25,2.02,3.03,7
"273",1458,5613404332,2556,1,2.36,2.36,3,7
"274",1459,5613404332,2556,2,1.64,1.99,3,7
"275",1461,5613404332,2557,1,1.75,2.02,3,7
"276",1457,5613404332,2557,2,1.93,2,3,7
"277",1519,5613404461,2556,1,1.94,1.94,3.16,7
"278",1506,5613404461,2556,2,1.7,1.97,3.16,7
"279",1507,5613404461,2557,1,2.16,2.04,3.16,7
"280",1505,5613404461,2557,2,2.24,2.19,3.16,7
"281",1516,5613404461,2557,3,2.25,2.2,3.16,7
"282",1551,5613404011,2556,1,2.67,2.67,2.73,6
"283",1537,5613404011,2556,2,2.03,2.35,2.73,6
"284",1541,5613404011,2557,1,1.34,2.01,2.73,6
"285",1539,5613404011,2557,2,3.06,2.36,2.73,6
"286",1538,5613404011,2557,3,3,2.42,2.73,6
"287",1575,5613404248,2556,1,3.41,3.41,3.72,8
"288",1571,5613404248,2556,2,3.15,3.29,3.72,8
"289",1569,5613404248,2557,1,3.5,3.37,3.72,8
"290",1577,5613404248,2557,2,3.25,3.34,3.72,8
"291",1570,5613404248,2557,3,3,3.32,3.72,8
"292",1602,5613403578,2556,1,1.56,1.56,2.71,6
"293",1603,5613403578,2556,2,1.74,1.81,2.71,6
"294",1605,5613403578,2556,3,0,1.81,2.71,6
"295",1601,5613403578,2557,1,1.29,1.7,2.71,6
"296",1611,5613403578,2557,2,0.35,1.5,2.71,6
"297",1610,5613403578,2557,3,0,1.5,2.71,6
"298",1642,5613400561,2556,1,1.89,1.89,3.34,7
"299",1640,5613400561,2556,2,2.31,2.29,3.34,7
"300",1638,5613400561,2556,3,2,2.25,3.34,7
"301",1637,5613400561,2557,1,1.75,2.1,3.34,7
"302",1647,5613400561,2557,2,1.79,2.12,3.34,7
"303",1643,5613400561,2557,3,2.75,2.17,3.34,7
"304",1687,5613405516,2556,1,2.87,2.87,3.23,7
"305",1674,5613405516,2556,2,2.56,2.71,3.23,7
"306",1676,5613405516,2556,3,3.1,2.76,3.23,7
"307",1678,5613405516,2557,1,2.48,2.67,3.23,7
"308",1673,5613405516,2557,2,2.64,2.66,3.23,7
"309",1714,5613405080,2556,1,2.77,2.77,3.28,7
"310",1706,5613405080,2556,2,2.35,2.55,3.28,7
"311",1701,5613405080,2557,1,1.5,2.15,3.28,7
"312",1705,5613405080,2557,2,2.4,2.2,3.28,7
"313",1707,5613405080,2557,3,3,2.38,3.28,7
"314",1734,5613402613,2556,1,2.03,2.03,2.81,6
"315",1737,5613402613,2556,2,2.2,2.32,2.81,6
"316",1740,5613402613,2556,3,0.5,2.03,2.81,6
"317",1733,5613402613,2557,1,1.68,2.03,2.81,6
"318",1745,5613402613,2557,2,2,2.12,2.81,6
"319",1739,5613402613,2557,3,2.75,2.17,2.81,6
"320",1782,5613403679,2556,1,2.5,2.5,2.75,6
"321",1780,5613403679,2556,2,2.84,2.67,2.75,6
"322",1778,5613403679,2556,3,3.5,2.73,2.75,6
"323",1769,5613403679,2557,1,1.8,2.4,2.75,6
"324",1770,5613403679,2557,2,2.48,2.42,2.75,6
"325",1813,5613401111,2556,1,2.21,2.21,3.11,7
"326",1797,5613401111,2556,2,2.14,2.37,3.11,7
"327",1801,5613401111,2556,3,2.5,2.59,3.11,7
"328",1800,5613401111,2557,1,1.85,2.33,3.11,7
"329",1806,5613401111,2557,2,2.6,2.4,3.11,7
"330",1799,5613401111,2557,3,2.25,2.39,3.11,7
"331",1876,5613404398,2556,1,2.62,2.62,3.92,8
"332",1871,5613404398,2556,2,2.82,2.72,3.92,8
"333",1873,5613404398,2556,3,3,2.76,3.92,8
"334",1870,5613404398,2557,1,2.97,2.83,3.92,8
"335",1869,5613404398,2557,2,2.75,2.81,3.92,8
"336",1883,5613404398,2557,3,3.5,2.86,3.92,8
"337",1916,5613402411,2556,1,2.17,2.17,2.79,6
"338",1906,5613402411,2556,2,2.43,2.32,2.79,6
"339",1907,5613402411,2556,3,2.5,2.35,2.79,6
"340",1905,5613402411,2557,1,1.15,1.95,2.79,6
"341",1912,5613402411,2557,2,1.71,1.97,2.79,6
"342",1973,5613405329,2556,1,2.53,2.53,3.79,8
"343",1965,5613405329,2556,2,2.39,2.46,3.79,8
"344",1961,5613405329,2557,1,1.72,2.23,3.79,8
"345",1968,5613405329,2557,2,2.2,2.33,3.79,8
"346",1966,5613405329,2557,3,2,2.3,3.79,8
"347",1993,5613401201,2556,1,2.7,2.7,2.91,6
"348",1999,5613401201,2556,2,2.37,2.53,2.91,6
"349",1996,5613401201,2557,1,2.72,2.6,2.91,6
"350",1995,5613401201,2557,2,2.53,2.59,2.91,6
"351",1994,5613401201,2557,3,2.75,2.6,2.91,6
"352",2038,5613400885,2556,1,2.5,2.5,3.64,8
"353",2026,5613400885,2556,2,2.66,2.59,3.64,8
"354",2028,5613400885,2557,1,1.25,2.11,3.64,8
