"","GPA","entry2553_GPAX","""fuck"""
"1",2.44,3.71,"fuck"
"2",2.74,3.71,"fuck"
"3",1.69,3.71,"fuck"
"4",0.95,3.71,"fuck"
"5",2,3.71,"fuck"
"6",2.39,3.71,"fuck"
"7",2.92,3.71,"fuck"
"8",2.44,3.71,"fuck"
"9",2,3.71,"fuck"
"10",3.07,3.08,"fuck"
"11",3,3.08,"fuck"
"12",2.4,3.08,"fuck"
"13",2.09,3.08,"fuck"
"14",2.4,3.08,"fuck"
"15",1.88,3.08,"fuck"
"16",2.36,3.08,"fuck"
"17",2.42,3.08,"fuck"
"18",2.29,3.53,"fuck"
"19",2.65,3.53,"fuck"
"20",1.32,3.53,"fuck"
"21",1.91,3.53,"fuck"
"22",1.6,3.53,"fuck"
"23",2.2,3.53,"fuck"
"24",1.94,3.53,"fuck"
"25",2,3.53,"fuck"
"26",2.35,3.53,"fuck"
"27",2.04,3.37,"fuck"
"28",0.14,3.37,"fuck"
"29",2.07,3.07,"fuck"
"30",2.27,3.07,"fuck"
"31",1.86,3.07,"fuck"
"32",2.1,3.07,"fuck"
"33",1.25,3.07,"fuck"
"34",1.82,3.07,"fuck"
"35",2.15,3.07,"fuck"
"36",1.59,3.07,"fuck"
"37",1.08,3.07,"fuck"
"38",1.67,3.07,"fuck"
"39",2.19,3,"fuck"
"40",2.21,3,"fuck"
"41",1.84,3,"fuck"
"42",2.58,3,"fuck"
"43",1.87,3,"fuck"
"44",2.9,3,"fuck"
"45",2.68,3,"fuck"
"46",2.5,3,"fuck"
"47",3.1,2.89,"fuck"
"48",3.14,2.89,"fuck"
"49",3,2.89,"fuck"
"50",2.98,2.89,"fuck"
"51",2.93,2.89,"fuck"
"52",4,2.89,"fuck"
"53",3.03,2.89,"fuck"
"54",2.36,2.89,"fuck"
"55",2.75,2.89,"fuck"
"56",2.38,2.89,"fuck"
"57",2.44,2.94,"fuck"
"58",2.62,2.94,"fuck"
"59",2.72,2.94,"fuck"
"60",3.05,2.94,"fuck"
"61",3,2.94,"fuck"
"62",2.98,2.94,"fuck"
"63",2.7,2.94,"fuck"
"64",3.33,2.53,"fuck"
"65",3.43,2.53,"fuck"
"66",2.5,2.53,"fuck"
"67",2.25,2.53,"fuck"
"68",2.5,2.53,"fuck"
"69",2.58,2.53,"fuck"
"70",1.8,2.53,"fuck"
"71",2.93,2.53,"fuck"
"72",2.64,2.53,"fuck"
"73",2,2.53,"fuck"
"74",2.74,3.34,"fuck"
"75",2.6,3.34,"fuck"
"76",2.58,3.34,"fuck"
"77",3,3.34,"fuck"
"78",3.63,3.34,"fuck"
"79",2.58,3.34,"fuck"
"80",3.08,3.34,"fuck"
"81",3.44,3.34,"fuck"
"82",2.95,3.42,"fuck"
"83",2.8,3.42,"fuck"
"84",2.25,3.42,"fuck"
"85",2.45,3.42,"fuck"
"86",2.45,3.42,"fuck"
"87",2.18,3.42,"fuck"
"88",2.4,3.42,"fuck"
"89",2.66,3.61,"fuck"
"90",2.45,3.61,"fuck"
"91",1,3.61,"fuck"
"92",1.4,3.61,"fuck"
"93",1.93,3.61,"fuck"
