"ID","GPA","X2553_GPAX","entry2553_GPAX","EnrolledYear","Semester"
5313404454,2.92,2.24,3.71,2555,2
5313404454,2.44,2.44,3.71,2553,1
5313404454,2.39,2.01,3.71,2555,1
5313404454,2,1.91,3.71,2554,3
5313404454,2.44,2.32,3.71,2556,1
5313404454,2,2.37,3.71,2556,2
5313404454,1.69,2.26,3.71,2554,1
5313404454,2.74,2.59,3.71,2553,2
5313404454,0.95,1.9,3.71,2554,2
5313400771,2.4,2.81,3.08,2554,1
5313400771,3.07,3.07,3.08,2553,1
5313400771,3,3.03,3.08,2553,2
5313400771,2.09,2.64,3.08,2554,2
5313400771,2.4,2.58,3.08,2555,1
5313400771,2.42,2.44,3.08,2556,2
5313400771,1.88,2.46,3.08,2555,2
5313400771,2.36,2.44,3.08,2556,1
5313401005,2,2.21,3.53,2556,2
5313401005,1.91,2.1,3.53,2554,2
5313401005,2.65,2.47,3.53,2553,2
5313401005,2.29,2.29,3.53,2553,1
5313401005,2.35,2.31,3.53,2557,1
5313401005,1.32,2.05,3.53,2554,1
5313401005,1.94,2.19,3.53,2556,1
5313401005,2.2,2.12,3.53,2555,2
5313401005,1.6,2.03,3.53,2555,1
5313407200,0.14,1.09,3.37,2553,2
5313407200,2.04,2.04,3.37,2553,1
5313401048,2.15,2.04,3.07,2555,2
5313401048,1.08,1.96,3.07,2556,2
5313401048,1.67,2.01,3.07,2556,3
5313401048,1.59,2.01,3.07,2556,1
5313401048,1.82,2.01,3.07,2555,1
5313401048,2.1,2.06,3.07,2554,2
5313401048,1.25,1.99,3.07,2554,3
5313401048,1.86,2.04,3.07,2554,1
5313401048,2.07,2.07,3.07,2553,1
5313401048,2.27,2.17,3.07,2553,2
5313401077,2.68,2.62,3,2556,1
5313401077,1.87,2.35,3,2555,1
5313401077,2.9,2.47,3,2555,2
5313401077,2.5,2.66,3,2556,2
5313401077,2.58,2.41,3,2554,2
5313401077,2.21,2.2,3,2553,2
5313401077,1.84,2.2,3,2554,1
5313401077,2.19,2.19,3,2553,1
5313404724,3,3.11,2.89,2553,3
5313404724,3.14,3.13,2.89,2553,2
5313404724,3.1,3.1,2.89,2553,1
5313404724,2.38,2.9,2.89,2556,2
5313404724,2.75,2.94,2.89,2556,1
5313404724,2.93,3.03,2.89,2554,2
5313404724,2.36,2.96,2.89,2555,2
5313404724,3.03,3.08,2.89,2555,1
5313404724,2.98,3.06,2.89,2554,1
5313404724,4,3.1,2.89,2554,3
5313401084,3.05,2.73,2.94,2554,2
5313401084,2.7,2.79,2.94,2555,2
5313401084,2.98,2.81,2.94,2555,1
5313401084,3,2.76,2.94,2554,3
5313401084,2.72,2.61,2.94,2554,1
5313401084,2.62,2.53,2.94,2553,2
5313401084,2.44,2.44,2.94,2553,1
5313401093,3.43,3.38,2.53,2553,2
5313401093,3.33,3.33,2.53,2553,1
