"","ID","EnrolledYear","Semester","GPA","GPAX","entryGPAX","group"
"1",5313404454,2553,1,2.44,2.44,3.71,8
"2",5313404454,2553,2,2.74,2.59,3.71,8
"3",5313404454,2554,1,1.69,2.26,3.71,8
"4",5313404454,2554,2,0.95,1.9,3.71,8
"5",5313404454,2554,3,2,1.91,3.71,8
"6",5313404454,2555,1,2.39,2.01,3.71,8
"7",5313404454,2555,2,2.92,2.24,3.71,8
"8",5313404454,2556,1,2.44,2.32,3.71,8
"9",5313404454,2556,2,2,2.37,3.71,8
"10",5313400771,2553,1,3.07,3.07,3.08,7
"11",5313400771,2553,2,3,3.03,3.08,7
"12",5313400771,2554,1,2.4,2.81,3.08,7
"13",5313400771,2554,2,2.09,2.64,3.08,7
"14",5313400771,2555,1,2.4,2.58,3.08,7
"15",5313400771,2555,2,1.88,2.46,3.08,7
"16",5313400771,2556,1,2.36,2.44,3.08,7
"17",5313400771,2556,2,2.42,2.44,3.08,7
"18",5313401005,2553,1,2.29,2.29,3.53,8
"19",5313401005,2553,2,2.65,2.47,3.53,8
"20",5313401005,2554,1,1.32,2.05,3.53,8
"21",5313401005,2554,2,1.91,2.1,3.53,8
"22",5313401005,2555,1,1.6,2.03,3.53,8
"23",5313401005,2555,2,2.2,2.12,3.53,8
"24",5313401005,2556,1,1.94,2.19,3.53,8
"25",5313401005,2556,2,2,2.21,3.53,8
"26",5313401005,2557,1,2.35,2.31,3.53,8
"27",5313407200,2553,1,2.04,2.04,3.37,7
"28",5313407200,2553,2,0.14,1.09,3.37,7
"29",5313401048,2553,1,2.07,2.07,3.07,7
"30",5313401048,2553,2,2.27,2.17,3.07,7
"31",5313401048,2554,1,1.86,2.04,3.07,7
"32",5313401048,2554,2,2.1,2.06,3.07,7
"33",5313401048,2554,3,1.25,1.99,3.07,7
"34",5313401048,2555,1,1.82,2.01,3.07,7
"35",5313401048,2555,2,2.15,2.04,3.07,7
"36",5313401048,2556,1,1.59,2.01,3.07,7
"37",5313401048,2556,2,1.08,1.96,3.07,7
"38",5313401048,2556,3,1.67,2.01,3.07,7
"39",5313401077,2553,1,2.19,2.19,3,7
"40",5313401077,2553,2,2.21,2.2,3,7
"41",5313401077,2554,1,1.84,2.2,3,7
"42",5313401077,2554,2,2.58,2.41,3,7
"43",5313401077,2555,1,1.87,2.35,3,7
"44",5313401077,2555,2,2.9,2.47,3,7
"45",5313401077,2556,1,2.68,2.62,3,7
"46",5313401077,2556,2,2.5,2.66,3,7
"47",5313404724,2553,1,3.1,3.1,2.89,6
"48",5313404724,2553,2,3.14,3.13,2.89,6
"49",5313404724,2553,3,3,3.11,2.89,6
"50",5313404724,2554,1,2.98,3.06,2.89,6
"51",5313404724,2554,2,2.93,3.03,2.89,6
"52",5313404724,2554,3,4,3.1,2.89,6
"53",5313404724,2555,1,3.03,3.08,2.89,6
"54",5313404724,2555,2,2.36,2.96,2.89,6
"55",5313404724,2556,1,2.75,2.94,2.89,6
"56",5313404724,2556,2,2.38,2.9,2.89,6
"57",5313401084,2553,1,2.44,2.44,2.94,6
"58",5313401084,2553,2,2.62,2.53,2.94,6
"59",5313401084,2554,1,2.72,2.61,2.94,6
"60",5313401084,2554,2,3.05,2.73,2.94,6
"61",5313401084,2554,3,3,2.76,2.94,6
"62",5313401084,2555,1,2.98,2.81,2.94,6
"63",5313401084,2555,2,2.7,2.79,2.94,6
