"entry2553_GPAX","GPA","\"fuck\""
2.64,2.4,"fuck"
3.5,0,"fuck"
3.52,0,"fuck"
3.98,2.93,"fuck"
3.96,2.93,"fuck"
3.3,3.43,"fuck"
3.38,3.43,"fuck"
3.92,2.7,"fuck"
3.36,2.5,"fuck"
3.25,2.5,"fuck"
3.4,2.28,"fuck"
3.47,2.28,"fuck"
3.42,2.85,"fuck"
3.45,2.85,"fuck"
3.69,2.6,"fuck"
3.68,2.6,"fuck"
3.11,2.38,"fuck"
3.72,2.6,"fuck"
3.69,2.6,"fuck"
3.6,2.6,"fuck"
3.24,2.19,"fuck"
3.26,2.19,"fuck"
3.45,2.95,"fuck"
3.43,2.95,"fuck"
3.63,2.92,"fuck"
3.65,2.92,"fuck"
3.44,2.33,"fuck"
3.35,2.33,"fuck"
3.76,3.17,"fuck"
3.17,2.43,"fuck"
3.26,2.43,"fuck"
3.13,2.38,"fuck"
3.47,2.78,"fuck"
3.52,2.78,"fuck"
3.61,3.19,"fuck"
3.64,3.19,"fuck"
3.16,2,"fuck"
3.15,2,"fuck"
2.52,1.87,"fuck"
2.53,1.87,"fuck"
3.77,3.7,"fuck"
3.78,3.7,"fuck"
3.71,3.12,"fuck"
3.75,3.12,"fuck"
3.33,2.33,"fuck"
3.35,2.33,"fuck"
3.43,2.5,"fuck"
3.48,2.5,"fuck"
2.93,2.05,"fuck"
2.95,2.05,"fuck"
2.71,1.65,"fuck"
2.75,1.65,"fuck"
3.53,3.1,"fuck"
3.5,3.1,"fuck"
3.28,2.86,"fuck"
3.27,2.86,"fuck"
2.98,2.72,"fuck"
3.1,2.72,"fuck"
3.41,2.13,"fuck"
3.37,2.13,"fuck"
3.19,1.39,"fuck"
3.27,1.39,"fuck"
3.26,1.39,"fuck"
3.62,2.81,"fuck"
3.66,2.81,"fuck"
3.5,2.74,"fuck"
3.51,2.74,"fuck"
3.93,3.4,"fuck"
3.94,3.4,"fuck"
3.95,3.4,"fuck"
3.32,2.17,"fuck"
3.35,2.17,"fuck"
3.34,2.31,"fuck"
3.38,2.31,"fuck"
3.18,2.32,"fuck"
3.16,2.32,"fuck"
3.3,2.7,"fuck"
3.31,2.7,"fuck"
3.71,3.34,"fuck"
3.59,1.75,"fuck"
3.58,1.75,"fuck"
2.72,2.15,"fuck"
3.35,3,"fuck"
3.34,3,"fuck"
3.46,3.13,"fuck"
3.47,3.13,"fuck"
2.97,1.89,"fuck"
2.93,1.89,"fuck"
2.21,1.43,"fuck"
2.39,1.43,"fuck"
3.33,3,"fuck"
3.37,3,"fuck"
3.56,3.37,"fuck"
3.27,3.19,"fuck"
3.63,2.25,"fuck"
3.65,2.25,"fuck"
2.64,2.24,"fuck"
2.66,2.24,"fuck"
3.7,2.35,"fuck"
3.67,2.35,"fuck"
3.93,2.88,"fuck"
3.24,2.3,"fuck"
3.23,2.3,"fuck"
3.77,2.16,"fuck"
3.73,2.16,"fuck"
3.94,2.87,"fuck"
3.93,2.87,"fuck"
2.98,1.39,"fuck"
2.93,2.79,"fuck"
2.94,2.79,"fuck"
3.12,2.35,"fuck"
3.14,2.35,"fuck"
3.23,2.35,"fuck"
3.59,3.03,"fuck"
3.61,3.03,"fuck"
2.55,1.64,"fuck"
2.52,1.64,"fuck"
3.7,2.93,"fuck"
3.66,2.93,"fuck"
2.64,2.5,"fuck"
2.92,3.13,"fuck"
3.11,3.13,"fuck"
3.35,2.59,"fuck"
3.33,2.59,"fuck"
3.8,2.27,"fuck"
3.18,2.27,"fuck"
3.25,2.15,"fuck"
3.17,2.15,"fuck"
3.13,2.57,"fuck"
3.17,2.57,"fuck"
2.68,0,"fuck"
2.75,0,"fuck"
3.23,1.69,"fuck"
3.28,1.69,"fuck"
3.27,1.69,"fuck"
3.3,2.53,"fuck"
3.34,2.53,"fuck"
3.6,2.85,"fuck"
3.52,2.85,"fuck"
3.13,2.56,"fuck"
3.12,2.56,"fuck"
3.08,2.56,"fuck"
2.86,1.18,"fuck"
2.9,1.18,"fuck"
3.74,3.45,"fuck"
3.17,2.34,"fuck"
3.21,2.34,"fuck"
2.97,2.14,"fuck"
2.82,3.78,"fuck"
3.72,3.48,"fuck"
3.57,2.83,"fuck"
3.58,2.14,"fuck"
3.7,3.63,"fuck"
3.17,2.23,"fuck"
2.65,1.98,"fuck"
2.89,2.25,"fuck"
3.25,3.08,"fuck"
3.16,2.2,"fuck"
2.72,1.91,"fuck"
3.32,2.38,"fuck"
2.87,2.88,"fuck"
2.84,2.88,"fuck"
2.58,2.17,"fuck"
3.05,1.98,"fuck"
3.16,2.53,"fuck"
2.8,1.78,"fuck"
3.88,2.62,"fuck"
2.97,1.78,"fuck"
2.55,1.85,"fuck"
3.44,2.85,"fuck"
2.35,2.29,"fuck"
2.77,2.55,"fuck"
3.34,2.72,"fuck"
3.2,2.28,"fuck"
3.2,1.94,"fuck"
2.89,1.42,"fuck"
2.76,2.31,"fuck"
3.43,2.37,"fuck"
2.89,2.65,"fuck"
2.95,2.1,"fuck"
3.2,2.24,"fuck"
3.21,3.35,"fuck"
2.96,1.53,"fuck"
3.81,2.6,"fuck"
2.74,2.12,"fuck"
2.74,2.14,"fuck"
2.66,2.16,"fuck"
3.28,2.5,"fuck"
2.96,1.45,"fuck"
3.22,2.1,"fuck"
2.59,1.72,"fuck"
2.57,1.72,"fuck"
2.96,2.58,"fuck"
3.46,3.78,"fuck"
3.45,3.78,"fuck"
3.04,2.42,"fuck"
3.6,2.8,"fuck"
3.83,3.03,"fuck"
3.05,2.64,"fuck"
3.15,2.23,"fuck"
3.63,3.15,"fuck"
3.62,3.15,"fuck"
2.12,1.75,"fuck"
3.38,2.7,"fuck"
2.94,1.78,"fuck"
2.94,1.39,"fuck"
2.55,2.28,"fuck"
3.05,2.3,"fuck"
2.94,2.09,"fuck"
3.28,2.43,"fuck"
2.88,1.4,"fuck"
3.32,2.83,"fuck"
3.12,2.62,"fuck"
2.85,2.48,"fuck"
2.57,2.05,"fuck"
3.05,2.56,"fuck"
3.07,2.9,"fuck"
3.08,2.75,"fuck"
2.89,2.48,"fuck"
2.89,2.55,"fuck"
2.65,2.17,"fuck"
2.96,2.53,"fuck"
3.63,2.85,"fuck"
3.09,2.25,"fuck"
3.25,2.82,"fuck"
3.06,2.45,"fuck"
2.84,2.42,"fuck"
3.03,1.6,"fuck"
3.11,2.43,"fuck"
2.91,1.95,"fuck"
3.36,2.5,"fuck"
3.53,2.53,"fuck"
2.99,3.6,"fuck"
3,2.38,"fuck"
2.92,2.53,"fuck"
3.74,3.1,"fuck"
3.58,1.75,"fuck"
3.15,2.53,"fuck"
3.63,2.73,"fuck"
2.79,2.63,"fuck"
3.8,2.79,"fuck"
3.28,2.27,"fuck"
2.97,2.36,"fuck"
2.76,2.03,"fuck"
3.27,2.06,"fuck"
3.75,2.9,"fuck"
3.13,2.89,"fuck"
3.11,2.89,"fuck"
3.44,2.39,"fuck"
3.56,2.83,"fuck"
3.55,2.83,"fuck"
3.16,2.48,"fuck"
3.63,2.32,"fuck"
3.26,2.44,"fuck"
3.71,2.77,"fuck"
3.32,2.35,"fuck"
2.1,1.97,"fuck"
3.24,2.78,"fuck"
2.87,2.25,"fuck"
3.03,2.25,"fuck"
3.22,2.77,"fuck"
3.16,2.08,"fuck"
3.4,2.68,"fuck"
3.25,2.45,"fuck"
3.19,1.5,"fuck"
3.75,3.25,"fuck"
3.4,0.85,"fuck"
3.2,3.04,"fuck"
3.24,3.04,"fuck"
